"week","rank","song","artist"
2019-01-05,1,"Thank U, Next","Ariana Grande"
2019-01-05,2,"Without Me","Halsey"
2019-01-05,3,"All I Want For Christmas Is You","Mariah Carey"
2019-01-05,4,"Sicko Mode","Travis Scott"
2019-01-05,5,"Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
2019-01-05,6,"High Hopes","Panic! At The Disco"
2019-01-05,7,"Happier","Marshmello & Bastille"
2019-01-05,8,"Jingle Bell Rock","Bobby Helms"
2019-01-05,9,"Rockin' Around The Christmas Tree","Brenda Lee"
2019-01-05,10,"A Holly Jolly Christmas","Burl Ives"
2019-01-05,11,"The Christmas Song (Merry Christmas To You)","Nat King Cole"
2019-01-05,12,"Drip Too Hard","Lil Baby & Gunna"
2019-01-05,13,"It's The Most Wonderful Time Of The Year","Andy Williams"
2019-01-05,14,"Girls Like You","Maroon 5 Featuring Cardi B"
2019-01-05,15,"ZEZE","Kodak Black Featuring Travis Scott & Offset"
2019-01-05,16,"Rudolph The Red-Nosed Reindeer","Gene Autry"
2019-01-05,17,"Mo Bamba","Sheck Wes"
2019-01-05,18,"Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black"
2019-01-05,19,"Money","Cardi B"
2019-01-05,20,"Let It Snow, Let It Snow, Let It Snow","Dean Martin"
2019-01-05,21,"Eastside","benny blanco, Halsey & Khalid"
2019-01-05,22,"Breathin","Ariana Grande"
2019-01-05,23,"Better Now","Post Malone"
2019-01-05,24,"Youngblood","5 Seconds Of Summer"
2019-01-05,25,"Last Christmas","Wham!"
2019-01-05,26,"Sleigh Ride","The Ronettes"
2019-01-05,27,"Lucid Dreams","Juice WRLD"
2019-01-05,28,"Here Comes Santa Claus (Right Down Santa Claus Lane)","Gene Autry"
2019-01-05,29,"Feliz Navidad","Jose Feliciano"
2019-01-05,30,"Taki Taki","DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
2019-01-05,31,"MIA","Bad Bunny Featuring Drake"
2019-01-05,32,"(There's No Place Like) Home For The Holidays","Perry Como"
2019-01-05,33,"Leave Me Alone","Flipp Dinero"
2019-01-05,34,"White Christmas","Bing Crosby"
2019-01-05,35,"It's Beginning To Look A Lot Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra"
2019-01-05,36,"Going Bad","Meek Mill Featuring Drake"
2019-01-05,37,"A Lot","21 Savage"
2019-01-05,38,"Trip","Ella Mai"
2019-01-05,39,"I Like It","Cardi B, Bad Bunny & J Balvin"
2019-01-05,40,"Blue Christmas","Elvis Presley"
